Teacher_ID,Course_ID,Semester,Student_Avg_Score,Teacher_Evaluation_Score,Attendance_Rate,Student_Feedback_Rating,Course_Completion_Rate,Interactive_Sessions_Percent,Assignments_On_Time_Percent,Teaching_Experience_Years,Research_Publications,Tech_Integration_Score,Teaching_Quality
T016,C105,2025-Spring,59.84,5.57,91.92,4.47,91.61,72.03,96.79,10,1,5.79,Good
T045,C144,2024-Fall,69.82,8.42,91.31,3.34,85.92,65.46,94.48,14,7,6.93,Good
T018,C150,2025-Spring,87.08,8.29,90.9,3.91,94.67,60.53,62.18,2,4,7.88,Good
T047,C114,2025-Spring,52.96,8.02,85.34,3.87,95.47,76.3,88.83,4,5,6.93,Good
T024,C111,2024-Fall,64.63,7.46,86.69,3.94,87.27,71.51,92.98,2,2,6.78,Good
T026,C109,2024-Fall,73.73,8.5,87.3,4.58,86.18,73.91,95.63,18,4,4.36,Good
T025,C134,2024-Spring,66.23,8.55,78.44,3.95,88.63,77.21,75.59,13,4,8.3,Good
T045,C112,2025-Spring,69.73,6.54,99.74,3.85,90.52,73.85,89.72,19,0,6.92,Good
T041,C135,2024-Spring,69.88,8.18,98.32,3.53,91.57,100.0,86.56,5,3,6.35,Good
T029,C135,2024-Fall,72.42,7.22,92.94,4.66,78.74,62.08,88.45,2,3,7.38,Good
T015,C101,2024-Spring,67.71,5.27,80.74,3.28,85.16,76.48,92.99,11,5,5.73,Average
T045,C140,2025-Spring,66.89,6.66,90.39,3.72,87.98,66.58,94.25,18,3,6.38,Good
T001,C122,2024-Spring,84.34,5.15,94.78,4.85,86.02,33.08,79.75,6,5,7.16,Good
T025,C129,2025-Spring,85.5,8.97,72.77,4.23,75.68,67.1,87.12,10,4,5.98,Good
T007,C108,2024-Fall,61.19,8.03,100.0,3.99,80.56,55.95,85.33,17,0,4.53,Good
T009,C111,2024-Fall,47.4,6.97,67.61,4.01,83.47,69.0,83.09,11,2,4.29,Average
T024,C141,2025-Spring,85.63,9.63,92.05,3.53,89.42,69.6,83.85,19,1,7.67,Good
T001,C137,2024-Fall,62.71,7.6,99.53,3.97,87.82,75.78,86.57,17,3,6.95,Good
T044,C114,2024-Fall,77.13,5.35,83.87,3.83,86.84,62.05,80.18,4,5,6.9,Good
T008,C130,2024-Fall,59.34,6.84,83.5,4.09,93.98,63.92,92.06,14,6,5.26,Good
T024,C135,2024-Fall,87.98,9.95,91.68,3.25,93.98,80.51,95.15,4,2,6.97,Excellent
T011,C121,2025-Spring,100.0,6.5,100.0,4.2,90.75,57.86,78.44,14,2,6.4,Good
T017,C137,2024-Spring,76.83,7.91,82.19,4.51,90.6,42.42,95.55,4,6,6.1,Good
T008,C105,2024-Spring,74.06,8.62,77.19,3.9,85.72,72.36,78.45,6,9,6.89,Good
T035,C119,2024-Fall,71.78,8.38,80.76,4.32,86.32,86.06,92.18,9,3,7.44,Good
T035,C114,2024-Spring,82.82,10.0,69.47,4.16,81.46,80.34,95.53,12,0,9.62,Excellent
T033,C126,2024-Spring,80.68,5.74,93.98,3.7,88.75,72.63,84.24,8,3,7.85,Good
T005,C104,2024-Fall,85.03,5.89,79.86,3.47,93.93,88.76,78.52,4,1,8.29,Good
T042,C125,2024-Fall,68.72,5.76,82.92,3.54,96.77,86.23,80.29,5,3,8.66,Good
T039,C145,2024-Spring,78.4,7.06,94.1,4.15,88.78,65.04,87.89,6,3,5.85,Good
T041,C142,2025-Spring,69.58,9.15,81.23,3.97,92.46,73.71,100.0,5,2,6.52,Good
T028,C125,2024-Fall,64.42,5.95,92.59,4.64,75.72,74.36,71.46,19,0,5.64,Good
T007,C118,2025-Spring,74.59,9.17,74.62,4.4,87.84,68.7,85.8,8,4,5.98,Good
T009,C140,2024-Spring,65.77,7.55,94.59,4.39,87.72,87.01,84.3,9,3,6.36,Good
T008,C108,2024-Fall,86.74,5.84,88.42,4.13,97.46,67.72,81.35,15,2,5.94,Good
T012,C139,2025-Spring,66.38,4.87,84.11,3.52,91.96,62.5,84.35,4,1,7.34,Good
T034,C140,2024-Fall,78.64,5.21,86.31,4.16,92.47,31.13,80.66,9,3,7.65,Good
T033,C114,2024-Spring,68.97,6.5,72.13,4.03,92.21,58.03,94.95,7,0,5.04,Good
T048,C132,2025-Spring,77.77,7.25,86.08,3.43,90.23,50.27,95.74,8,4,6.53,Good
T023,C138,2024-Spring,69.76,9.52,83.58,4.6,97.66,69.39,85.71,15,4,6.55,Good
T024,C133,2024-Spring,62.43,8.7,72.41,4.55,78.47,51.19,83.87,19,1,4.79,Good
T037,C123,2024-Fall,79.84,6.24,78.29,3.43,90.73,79.13,81.06,15,3,5.85,Good
T035,C115,2025-Spring,72.65,8.11,83.71,3.68,95.65,86.63,85.72,5,3,8.31,Good
T044,C133,2024-Spring,77.86,9.98,78.93,3.73,80.54,69.53,99.78,19,3,8.29,Good
T040,C125,2024-Spring,70.71,10.0,60.88,4.3,94.19,55.24,84.17,7,6,4.56,Good
T022,C117,2025-Spring,61.72,7.03,95.76,4.25,86.19,74.3,78.28,6,5,7.71,Good
T027,C133,2024-Spring,85.83,8.94,83.58,4.02,90.55,98.4,81.82,19,5,4.79,Good
T035,C147,2024-Spring,82.37,9.58,62.26,4.14,86.1,93.74,91.03,17,3,6.4,Good
T001,C102,2025-Spring,69.33,5.24,100.0,3.36,94.8,48.91,79.26,10,2,6.85,Good
T035,C114,2025-Spring,75.7,6.73,97.41,4.19,88.56,48.35,84.73,19,5,8.13,Good
T037,C140,2025-Spring,85.42,10.0,81.51,3.95,94.23,44.51,88.78,11,5,6.74,Good
T047,C140,2025-Spring,70.43,7.05,76.58,3.66,92.18,52.95,79.87,15,6,5.48,Good
T014,C139,2024-Fall,71.98,3.11,89.03,3.23,86.03,73.77,70.88,10,1,5.22,Average
T003,C106,2025-Spring,77.44,7.32,87.02,4.01,92.51,61.65,76.43,11,4,7.25,Good
T001,C106,2024-Fall,70.41,9.19,90.42,4.18,86.68,57.42,78.13,3,1,6.05,Good
T005,C103,2024-Fall,83.57,7.51,76.6,3.15,90.32,85.59,83.17,3,1,6.39,Good
T026,C107,2024-Fall,73.31,8.57,95.98,4.01,88.47,77.95,85.35,18,4,8.46,Good
T014,C108,2024-Spring,67.16,8.91,80.27,4.06,94.5,44.43,91.59,11,5,7.65,Good
T039,C142,2024-Fall,81.09,6.97,91.81,3.72,92.7,84.73,75.18,18,2,9.38,Good
T027,C115,2024-Fall,63.58,6.72,77.03,4.19,89.85,77.59,90.43,15,1,5.47,Good
T009,C147,2024-Spring,95.15,7.73,100.0,3.93,86.57,77.92,82.03,7,5,5.94,Good
T015,C129,2024-Spring,90.82,7.77,91.96,4.14,83.66,61.44,70.72,10,5,7.28,Good
T015,C133,2024-Spring,80.13,7.58,100.0,4.27,90.68,67.19,85.11,10,1,9.73,Excellent
T026,C130,2025-Spring,79.29,7.64,93.28,4.27,86.84,40.41,95.53,13,3,5.81,Good
T042,C139,2024-Spring,78.82,6.38,79.39,4.51,80.61,83.0,92.06,15,7,7.06,Good
T013,C127,2024-Spring,70.11,8.63,93.29,4.17,83.35,55.02,84.39,18,3,8.98,Good
T032,C136,2024-Fall,77.97,8.4,94.01,3.76,98.13,56.94,94.01,4,2,7.07,Good
T039,C129,2024-Spring,65.77,5.5,88.73,3.68,86.7,56.74,86.54,17,2,8.53,Good
T049,C138,2025-Spring,80.04,6.92,91.3,3.47,95.41,97.01,92.85,3,5,9.94,Good
T032,C133,2024-Spring,83.68,7.64,92.62,4.08,88.22,59.97,71.71,2,2,7.44,Good
T004,C137,2025-Spring,71.22,6.7,75.06,4.66,96.2,84.13,75.0,4,2,7.69,Good
T030,C127,2024-Spring,69.05,8.46,74.35,3.82,95.84,69.64,90.83,1,3,8.11,Good
T037,C133,2024-Spring,62.88,7.4,77.06,4.22,85.87,57.56,97.31,15,2,5.64,Good
T023,C104,2024-Spring,89.58,7.75,86.28,3.62,80.06,54.84,88.34,1,3,4.78,Good
T039,C122,2024-Spring,69.84,6.9,82.77,4.1,80.48,60.57,81.02,6,2,7.24,Good
T045,C102,2025-Spring,73.01,4.51,75.24,4.63,85.96,68.88,78.2,7,2,6.06,Good
T015,C110,2025-Spring,78.0,4.42,92.75,4.34,99.45,79.03,82.48,19,0,8.58,Good
T043,C105,2024-Fall,77.82,8.38,87.83,3.21,87.95,62.94,94.71,12,7,7.47,Good
T029,C110,2025-Spring,82.47,7.9,86.69,4.29,90.73,62.37,82.26,1,5,8.55,Good
T036,C133,2024-Spring,71.21,8.16,82.42,4.31,96.52,56.78,93.38,7,1,5.2,Good
T013,C138,2024-Fall,63.61,7.7,81.22,4.09,90.55,52.09,90.22,19,1,8.5,Good
T032,C113,2024-Fall,61.86,7.82,76.59,4.33,90.38,50.83,98.71,13,2,3.55,Good
T007,C131,2024-Fall,69.21,8.95,94.34,3.58,93.11,84.82,86.6,12,3,5.32,Good
T022,C147,2024-Spring,65.48,8.17,77.97,4.03,91.44,62.07,84.6,12,2,7.95,Good
T028,C136,2025-Spring,71.96,9.06,87.09,4.56,89.5,63.4,93.78,13,3,6.25,Good
T002,C145,2024-Spring,88.08,7.76,100.0,4.51,86.39,60.0,77.52,14,4,6.39,Good
T042,C124,2024-Fall,71.23,7.05,81.68,4.27,90.39,65.25,81.45,12,3,7.16,Good
T045,C115,2024-Spring,71.22,7.79,94.61,3.56,95.47,75.57,71.56,12,9,9.13,Good
T006,C129,2024-Spring,74.84,6.25,90.69,3.48,98.91,62.7,74.97,6,3,4.12,Good
T028,C108,2025-Spring,70.94,6.93,88.11,4.06,91.46,72.71,100.0,10,4,8.87,Good
T028,C105,2025-Spring,74.33,7.77,89.3,4.09,93.78,91.27,90.54,9,1,8.96,Good
T044,C129,2024-Fall,80.41,7.75,84.05,3.95,91.35,57.71,74.03,2,4,6.24,Good
T044,C147,2024-Spring,83.85,7.34,85.35,3.6,89.56,63.41,94.56,7,1,5.96,Good
T020,C104,2024-Spring,85.03,5.42,79.52,4.22,92.57,79.62,79.37,9,4,6.82,Good
T030,C112,2025-Spring,95.57,8.45,85.41,4.06,95.95,92.46,90.13,12,2,5.93,Excellent
T011,C145,2024-Spring,80.69,8.75,79.15,4.14,85.57,51.37,90.01,5,5,7.52,Good
T028,C102,2024-Spring,97.34,9.97,95.06,4.3,82.74,44.49,98.32,1,3,7.71,Excellent
T025,C127,2024-Spring,67.24,8.16,68.01,3.86,87.33,69.99,80.7,15,4,4.67,Good
T039,C131,2025-Spring,95.91,7.5,89.81,3.76,91.06,68.44,79.08,8,1,5.62,Good
T033,C136,2024-Fall,71.2,5.98,88.37,4.55,94.35,80.5,63.49,1,2,5.22,Good
T001,C136,2024-Fall,72.18,9.74,87.46,3.62,85.05,78.21,84.03,18,3,7.32,Good
T027,C126,2024-Spring,73.8,7.87,95.24,3.77,77.56,69.49,90.8,13,6,8.31,Good
T013,C143,2024-Fall,72.81,7.79,82.14,4.62,87.45,85.74,91.9,1,5,5.39,Good
T041,C127,2025-Spring,75.86,7.12,87.55,3.73,89.03,59.78,95.02,5,4,8.3,Good
T003,C105,2025-Spring,69.2,7.02,67.83,3.95,84.19,73.17,87.32,18,3,5.61,Good
T039,C120,2024-Fall,83.3,8.53,80.85,3.79,86.22,51.76,89.04,16,5,8.08,Good
T006,C111,2024-Fall,69.47,5.97,93.56,3.11,94.34,69.37,85.54,10,3,6.57,Good
T008,C110,2024-Spring,81.56,9.94,71.61,3.94,90.39,48.08,90.66,4,3,6.34,Good
T027,C140,2024-Fall,90.28,9.61,86.6,3.49,91.73,53.26,77.53,1,5,8.71,Good
T009,C138,2024-Spring,71.43,6.97,78.22,4.13,88.22,95.64,73.73,8,5,9.68,Good
T037,C106,2024-Spring,82.94,6.2,83.89,4.55,86.23,42.63,78.37,5,3,4.09,Good
T033,C108,2025-Spring,80.59,4.48,78.82,2.89,88.19,66.75,86.71,2,4,7.9,Good
T042,C123,2025-Spring,97.53,5.62,72.53,3.8,92.49,82.41,74.6,17,2,7.27,Good
T044,C147,2025-Spring,69.95,8.59,88.86,4.23,82.54,100.0,79.93,7,2,7.99,Good
T024,C126,2025-Spring,82.95,7.97,84.5,2.91,98.25,72.66,80.19,17,1,4.84,Good
T015,C146,2024-Fall,58.74,8.24,91.13,4.67,92.87,73.51,91.25,6,3,5.37,Good
T032,C143,2025-Spring,70.04,4.73,92.94,4.19,87.32,70.6,90.28,15,4,5.99,Good
T032,C112,2024-Fall,78.53,6.91,97.25,4.54,94.07,85.86,85.56,5,1,7.32,Good
T024,C126,2025-Spring,88.93,9.55,86.33,3.72,96.11,76.48,88.61,15,3,5.9,Good
T041,C113,2024-Fall,62.74,7.36,97.69,3.78,88.35,61.37,88.77,18,5,6.52,Good
T049,C140,2024-Spring,82.86,5.59,75.24,3.92,88.92,86.73,82.09,18,1,8.25,Good
T049,C118,2024-Fall,74.37,7.33,94.09,5.0,97.47,63.07,80.66,6,4,10.0,Excellent
T012,C125,2024-Fall,59.78,6.34,89.59,4.66,100.0,46.02,97.29,2,1,8.14,Good
T039,C133,2025-Spring,76.82,8.0,87.33,4.07,90.15,46.07,65.09,17,9,8.29,Good
T002,C147,2024-Fall,92.09,7.53,89.45,4.13,84.21,66.98,79.07,4,2,6.73,Good
T003,C140,2024-Spring,63.8,8.31,75.39,4.32,87.65,71.55,83.37,12,0,5.66,Good
T049,C143,2024-Spring,73.9,5.67,73.03,5.0,95.17,84.33,89.48,19,2,6.51,Good
T037,C112,2025-Spring,65.13,6.83,100.0,4.19,84.85,79.61,94.08,2,3,6.91,Good
T049,C144,2024-Spring,70.31,9.14,83.31,4.02,88.96,71.2,99.85,2,1,5.26,Good
T017,C136,2024-Fall,89.32,5.47,83.17,3.83,91.46,85.17,84.27,14,2,8.22,Good
T049,C148,2024-Spring,72.28,6.0,73.98,4.12,85.39,70.19,84.8,15,4,9.28,Good
T002,C104,2025-Spring,89.02,7.8,70.18,3.71,95.48,50.64,87.9,2,1,7.18,Good
T002,C105,2024-Fall,86.09,7.93,84.12,4.25,93.47,47.37,80.75,4,2,8.63,Good
T028,C137,2025-Spring,71.37,6.77,81.58,3.28,100.0,89.18,75.53,19,2,8.81,Good
T023,C108,2024-Fall,69.97,7.08,85.02,3.87,93.91,36.32,84.23,9,0,5.45,Good
T037,C142,2024-Spring,66.04,8.3,85.87,4.37,85.2,66.99,90.96,7,2,4.39,Good
T032,C149,2025-Spring,65.69,8.77,100.0,4.18,92.65,100.0,83.06,13,4,6.25,Good
T033,C128,2025-Spring,78.53,5.9,81.61,3.77,94.94,76.89,88.31,12,5,7.14,Good
T001,C131,2024-Fall,74.8,8.05,100.0,3.88,95.2,66.87,70.05,3,3,5.21,Good
T019,C109,2025-Spring,68.76,9.77,100.0,4.52,86.12,44.73,85.15,13,6,9.13,Good
T002,C129,2024-Fall,59.51,7.33,92.54,3.39,85.52,94.26,81.77,15,2,9.92,Good
T044,C114,2024-Fall,76.06,5.88,82.65,3.4,84.3,88.21,74.8,14,3,7.27,Good
T026,C140,2024-Fall,70.3,5.81,71.39,3.54,98.02,80.27,90.26,9,4,5.53,Good
T032,C141,2024-Fall,73.05,7.26,89.78,3.99,93.11,69.99,99.77,13,5,7.73,Good
T006,C122,2024-Spring,78.05,9.05,95.19,3.32,85.89,78.58,92.92,4,1,5.52,Good
T032,C111,2024-Fall,49.98,7.44,100.0,4.48,90.64,67.77,93.43,8,3,8.71,Good
T004,C123,2025-Spring,59.67,7.78,75.5,3.54,89.38,55.4,90.7,3,1,6.65,Good
T011,C101,2024-Spring,97.96,6.01,82.56,4.11,85.14,84.35,90.17,2,4,8.09,Good
T017,C146,2025-Spring,69.93,8.97,75.56,3.71,90.18,69.24,70.6,19,4,8.35,Good
T038,C137,2024-Spring,49.83,5.78,78.67,3.97,90.95,77.83,83.98,8,3,7.81,Average
T024,C121,2024-Fall,60.5,6.74,91.64,3.2,99.66,68.18,89.07,17,1,9.68,Good
T005,C126,2024-Spring,99.84,8.44,78.21,4.5,86.72,76.93,89.25,13,3,7.27,Excellent
T034,C146,2024-Spring,67.97,4.44,76.76,3.52,81.45,69.78,95.17,7,0,6.25,Average
T006,C136,2025-Spring,86.59,7.76,92.97,3.47,84.76,68.61,76.74,9,2,3.85,Good
T022,C123,2025-Spring,76.21,5.94,89.51,5.0,85.54,70.45,89.86,12,2,3.57,Good
T011,C101,2024-Fall,70.15,7.52,88.5,4.28,87.87,100.0,76.48,14,8,7.98,Good
T048,C140,2024-Spring,82.75,6.97,78.47,4.48,84.77,82.04,83.31,14,0,6.72,Good
T016,C115,2024-Spring,51.16,10.0,97.93,4.23,94.11,100.0,84.5,15,0,5.78,Good
T033,C121,2024-Spring,60.59,6.91,85.14,3.77,84.42,69.88,91.9,3,4,5.33,Good
T009,C147,2024-Fall,70.08,10.0,100.0,3.35,90.1,65.36,90.96,15,1,8.11,Good
T006,C109,2024-Fall,61.57,8.38,86.61,3.85,100.0,53.89,85.96,19,0,5.52,Good
T016,C109,2024-Fall,69.19,6.3,61.67,3.51,92.77,94.05,67.78,14,4,9.45,Good
T029,C110,2024-Fall,83.54,8.0,61.22,3.54,92.25,56.42,88.56,8,5,10.0,Good
T003,C126,2024-Fall,76.32,7.04,91.24,3.21,99.29,97.14,82.86,5,4,5.65,Good
T020,C141,2025-Spring,88.31,7.86,98.0,4.06,96.23,54.76,96.13,19,3,8.0,Excellent
T036,C135,2024-Spring,76.95,6.43,77.16,4.79,92.83,83.3,94.23,4,5,7.66,Good
T019,C125,2024-Spring,84.92,10.0,100.0,4.28,88.45,46.13,77.5,14,3,5.52,Good
T026,C126,2024-Spring,74.36,8.89,100.0,3.95,89.89,63.37,89.66,16,1,5.53,Good
T003,C111,2024-Spring,69.1,7.55,87.11,3.98,89.64,70.33,89.82,6,1,6.82,Good
T019,C138,2024-Spring,89.81,10.0,90.39,2.48,87.99,61.04,89.23,6,0,5.29,Good
T020,C102,2024-Spring,67.91,7.61,93.95,3.79,91.06,67.46,88.2,3,5,8.64,Good
T032,C107,2024-Spring,78.44,9.15,100.0,3.29,91.75,67.53,90.04,15,3,6.63,Good
T007,C118,2024-Spring,82.69,7.56,91.82,4.07,83.78,82.1,97.01,3,2,5.32,Good
T041,C127,2025-Spring,83.41,8.09,86.88,3.87,98.16,38.7,80.59,11,2,6.87,Good
T033,C134,2024-Spring,63.35,7.38,91.72,3.57,92.05,61.56,77.75,3,4,7.7,Good
T040,C127,2025-Spring,85.52,7.64,90.37,4.06,88.69,88.82,91.26,10,3,5.91,Good
T039,C117,2024-Fall,65.21,7.76,94.24,4.05,91.11,78.44,69.93,18,2,4.01,Good
T018,C143,2024-Spring,83.11,6.5,69.3,4.76,94.65,89.07,90.23,1,3,7.19,Good
